# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0030   0.0600   0.1083   Lower   A v -> Y v    CTS_ccl_a_buf_00006
0.0030   0.0600   0.1086   Lower   A v -> Y v    CTS_ccl_a_buf_00004
0.7376   0.6120   0.2517   Upper   A v -> Y v    FE_OFC6_scan_en
0.8330   0.6120   0.1292   Upper   RN v -> Q v    window_state_r_reg[0]
0.8331   0.6120   0.1099   Upper   RN v -> Q v    tv_on_r_reg
0.8331   0.6120   0.1040   Upper   RN v -> Q v    door_locked_r_reg
0.8331   0.6120   0.1261   Upper   RN v -> QN ^    door_locked_r_reg
0.8332   0.6120   0.1107   Upper   RN v -> Q v    music_on_r_reg
0.8332   0.6120   0.1234   Upper   RN v -> Q v    window_state_r_reg[1]
0.8331   0.6120   0.1043   Upper   RN v -> Q v    visitor_count_r_reg[7]
0.8331   0.6120   0.1048   Upper   RN v -> Q v    water_pump_on_r_reg
0.8331   0.6120   0.1186   Upper   RN v -> QN ^    water_pump_on_r_reg
0.8331   0.6120   0.1181   Upper   RN v -> Q v    water_valve_close_r_reg
0.8331   0.6120   0.1003   Upper   RN v -> Q v    visitor_count_r_reg[5]
0.8331   0.6120   0.0975   Upper   RN v -> Q v    visitor_count_r_reg[6]
0.8331   0.6120   0.0919   Upper   RN v -> Q v    visitor_count_r_reg[4]
0.8331   0.6120   0.1036   Upper   RN v -> Q v    visitor_count_r_reg[3]
0.8332   0.6120   0.0964   Upper   RN v -> Q v    volume_level_r_reg[3]
0.8332   0.6120   0.1017   Upper   RN v -> Q v    lock_status_r_reg[0]
0.8332   0.6120   0.1027   Upper   RN v -> Q v    volume_level_r_reg[2]
0.8332   0.6120   0.0977   Upper   RN v -> Q v    volume_level_r_reg[1]
0.8332   0.6120   0.0864   Upper   RN v -> Q v    water_level_r_reg[3]
0.8332   0.6120   0.0935   Upper   RN v -> Q v    lock_status_r_reg[1]
0.8332   0.6120   0.0866   Upper   RN v -> Q v    water_level_r_reg[2]
0.8331   0.6120   0.1033   Upper   RN v -> Q v    volume_level_r_reg[0]
0.8332   0.6120   0.0816   Upper   RN v -> Q v    water_level_r_reg[1]
0.8332   0.6120   0.1123   Upper   RN v -> Q v    humidifier_on_r_reg
0.8332   0.6120   0.1116   Upper   RN v -> Q v    dehumidifier_on_r_reg
0.8332   0.6120   0.0834   Upper   RN v -> Q v    water_level_r_reg[0]
0.8332   0.6120   0.0951   Upper   RN v -> Q v    temp_setpoint_r_reg[7]
0.8332   0.6120   0.1008   Upper   RN v -> Q v    temp_setpoint_r_reg[6]
0.8332   0.6120   0.1139   Upper   RN v -> Q v    temp_setpoint_r_reg[5]
0.8332   0.6120   0.1218   Upper   RN v -> Q v    temp_setpoint_r_reg[4]
0.8332   0.6120   0.1077   Upper   RN v -> Q v    temp_setpoint_r_reg[2]
0.8332   0.6120   0.1080   Upper   RN v -> Q v    temp_setpoint_r_reg[3]
0.8332   0.6120   0.1150   Upper   RN v -> Q v    temp_setpoint_r_reg[1]
0.8332   0.6120   0.0990   Upper   RN v -> Q v    temp_sensor_r_reg[7]
0.8332   0.6120   0.1003   Upper   RN v -> Q v    temp_sensor_r_reg[6]
0.8332   0.6120   0.0949   Upper   RN v -> Q v    temp_setpoint_r_reg[0]
0.8328   0.6120   0.1435   Upper   RN v -> Q v    u_door_lock/timeout_counter_reg[7]
0.8329   0.6120   0.1582   Upper   RN v -> Q v    u_door_lock/timeout_counter_reg[6]
0.8330   0.6120   0.1625   Upper   RN v -> Q v    u_door_lock/timeout_counter_reg[5]
0.8331   0.6120   0.0923   Upper   RN v -> Q v    u_door_lock/door_locked_reg
0.8331   0.6120   0.1462   Upper   RN v -> Q v    u_door_lock/timeout_counter_reg[4]
0.8331   0.6120   0.1433   Upper   RN v -> Q v    u_door_lock/timeout_counter_reg[2]
0.8332   0.6120   0.1120   Upper   RN v -> Q v    u_door_lock/lock_status_reg[0]
0.8332   0.6120   0.1197   Upper   RN v -> Q v    u_door_lock/lock_status_reg[1]
0.8332   0.6120   0.1591   Upper   RN v -> Q v    u_door_lock/timeout_counter_reg[1]
0.8332   0.6120   0.1175   Upper   RN v -> Q v    u_entertainment/tv_on_reg
0.8332   0.6120   0.1094   Upper   RN v -> Q v    u_entertainment/music_on_reg
0.8332   0.6120   0.1366   Upper   SN v -> Q ^    u_entertainment/volume_level_reg[0]
0.8332   0.6120   0.1491   Upper   SN v -> Q ^    u_entertainment/volume_level_reg[2]
0.8332   0.6120   0.1319   Upper   RN v -> Q v    u_entertainment/volume_level_reg[1]
0.8332   0.6120   0.1212   Upper   RN v -> Q v    u_entertainment/volume_level_reg[3]
0.8332   0.6120   0.1091   Upper   RN v -> Q v    u_humidity/dehumidifier_on_reg
0.8332   0.6120   0.1275   Upper   RN v -> Q v    u_humidity/humidifier_on_reg
0.8329   0.6120   0.1149   Upper   RN v -> Q v    u_visitor/exit_prev_reg
0.8329   0.6120   0.1027   Upper   RN v -> Q v    u_visitor/entry_prev_reg
0.8329   0.6120   0.1434   Upper   RN v -> Q v    u_visitor/count_reg[3]
0.8331   0.6120   0.1307   Upper   RN v -> Q v    u_visitor/count_reg[4]
0.8331   0.6120   0.1169   Upper   RN v -> Q v    u_visitor/count_reg[5]
0.8331   0.6120   0.1012   Upper   RN v -> Q v    u_visitor/count_reg[6]
0.8331   0.6120   0.1275   Upper   RN v -> Q v    u_visitor/count_reg[7]
0.8331   0.6120   0.1133   Upper   RN v -> Q v    u_water_ctrl/valve_close_reg
0.8332   0.6120   0.1204   Upper   RN v -> Q v    u_water_ctrl/pump_on_reg
0.7786   0.6120   0.0954   Upper   RN v -> Q v    heater_on_r_reg
0.7786   0.6120   0.1321   Upper   RN v -> QN ^    heater_on_r_reg
0.7786   0.6120   0.0968   Upper   RN v -> Q v    fan_on_r_reg
0.7786   0.6120   0.1738   Upper   RN v -> QN ^    fan_on_r_reg
0.7786   0.6120   0.0990   Upper   RN v -> Q v    burglar_alarm_out_r_reg
0.7786   0.6120   0.1136   Upper   RN v -> QN ^    burglar_alarm_out_r_reg
0.7786   0.6120   0.0745   Upper   RN v -> Q v    pin_input_r_reg[3]
0.7786   0.6120   0.0943   Upper   RN v -> Q v    ac_on_r_reg
0.7786   0.6120   0.1616   Upper   RN v -> QN ^    ac_on_r_reg
0.7786   0.6120   0.0792   Upper   RN v -> Q v    pin_input_r_reg[0]
0.7786   0.6120   0.0973   Upper   RN v -> Q v    led_brightness_r_reg[2]
0.7786   0.6120   0.0771   Upper   RN v -> Q v    pin_input_r_reg[1]
0.7786   0.6120   0.0805   Upper   RN v -> Q v    fan_cmd_r_reg
0.7786   0.6120   0.0813   Upper   RN v -> Q v    pin_input_r_reg[2]
0.7786   0.6120   0.0998   Upper   RN v -> Q v    led_brightness_r_reg[0]
0.7786   0.6120   0.0930   Upper   RN v -> Q v    led_brightness_r_reg[1]
0.7786   0.6120   0.0816   Upper   RN v -> Q v    ac_cmd_r_reg
0.7786   0.6120   0.0964   Upper   RN v -> Q v    visitor_count_r_reg[2]
0.7786   0.6120   0.0937   Upper   RN v -> Q v    led_brightness_r_reg[3]
0.7786   0.6120   0.0918   Upper   RN v -> Q v    light_sensor_r_reg[1]
0.7786   0.6120   0.0941   Upper   RN v -> Q v    visitor_count_r_reg[1]
0.7786   0.6120   0.0969   Upper   RN v -> Q v    led_brightness_r_reg[6]
0.7786   0.6120   0.0976   Upper   RN v -> Q v    led_brightness_r_reg[4]
0.7786   0.6120   0.0840   Upper   RN v -> Q v    light_sensor_r_reg[0]
0.7786   0.6120   0.0971   Upper   RN v -> Q v    visitor_count_r_reg[0]
