# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0133   0.0168   0.4362   Lower   A v -> Y v    FE_OFC5_scan_en
0.0030   0.0600   0.1083   Lower   A v -> Y v    CTS_ccl_a_buf_00006
0.0030   0.0600   0.1085   Lower   A v -> Y v    CTS_ccl_a_buf_00004
0.8041   0.6120   0.1281   Upper   RN v -> Q v    window_state_r_reg[0]
0.8043   0.6120   0.1079   Upper   RN v -> Q v    tv_on_r_reg
0.8044   0.6120   0.0997   Upper   RN v -> Q v    door_locked_r_reg
0.8044   0.6120   0.1257   Upper   RN v -> QN ^    door_locked_r_reg
0.8045   0.6120   0.1087   Upper   RN v -> Q v    music_on_r_reg
0.8045   0.6120   0.1223   Upper   RN v -> Q v    window_state_r_reg[1]
0.8043   0.6120   0.1017   Upper   RN v -> Q v    visitor_count_r_reg[7]
0.8043   0.6120   0.1003   Upper   RN v -> Q v    water_pump_on_r_reg
0.8043   0.6120   0.1183   Upper   RN v -> QN ^    water_pump_on_r_reg
0.8043   0.6120   0.1169   Upper   RN v -> Q v    water_valve_close_r_reg
0.8043   0.6120   0.0974   Upper   RN v -> Q v    visitor_count_r_reg[5]
0.8043   0.6120   0.0944   Upper   RN v -> Q v    visitor_count_r_reg[6]
0.8043   0.6120   0.0888   Upper   RN v -> Q v    visitor_count_r_reg[4]
0.8043   0.6120   0.1010   Upper   RN v -> Q v    visitor_count_r_reg[3]
0.8046   0.6120   0.0933   Upper   RN v -> Q v    volume_level_r_reg[3]
0.8046   0.6120   0.0989   Upper   RN v -> Q v    lock_status_r_reg[0]
0.8046   0.6120   0.1000   Upper   RN v -> Q v    volume_level_r_reg[2]
0.8046   0.6120   0.0947   Upper   RN v -> Q v    volume_level_r_reg[1]
0.8047   0.6120   0.0848   Upper   RN v -> Q v    water_level_r_reg[3]
0.8047   0.6120   0.0904   Upper   RN v -> Q v    lock_status_r_reg[1]
0.8047   0.6120   0.0850   Upper   RN v -> Q v    water_level_r_reg[2]
0.8043   0.6120   0.1007   Upper   RN v -> Q v    volume_level_r_reg[0]
0.8047   0.6120   0.0796   Upper   RN v -> Q v    water_level_r_reg[1]
0.8047   0.6120   0.1105   Upper   RN v -> Q v    humidifier_on_r_reg
0.8047   0.6120   0.1097   Upper   RN v -> Q v    dehumidifier_on_r_reg
0.8047   0.6120   0.0814   Upper   RN v -> Q v    water_level_r_reg[0]
0.8047   0.6120   0.0922   Upper   RN v -> Q v    temp_setpoint_r_reg[7]
0.8047   0.6120   0.0970   Upper   RN v -> Q v    temp_setpoint_r_reg[6]
0.8047   0.6120   0.1105   Upper   RN v -> Q v    temp_setpoint_r_reg[5]
0.8047   0.6120   0.1180   Upper   RN v -> Q v    temp_setpoint_r_reg[4]
0.8047   0.6120   0.1039   Upper   RN v -> Q v    temp_setpoint_r_reg[2]
0.8047   0.6120   0.1042   Upper   RN v -> Q v    temp_setpoint_r_reg[3]
0.8047   0.6120   0.1117   Upper   RN v -> Q v    temp_setpoint_r_reg[1]
0.8047   0.6120   0.0954   Upper   RN v -> Q v    temp_sensor_r_reg[7]
