# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.7364   0.6120   0.1168   Upper   RN v -> QN ^    burglar_alarm_out_r_reg
0.7364   0.6120   0.0720   Upper   RN v -> Q v    pin_input_r_reg[3]
0.7364   0.6120   0.0908   Upper   RN v -> Q v    ac_on_r_reg
0.7364   0.6120   0.1678   Upper   RN v -> QN ^    ac_on_r_reg
0.7363   0.6120   0.0763   Upper   RN v -> Q v    pin_input_r_reg[0]
0.7364   0.6120   0.0955   Upper   RN v -> Q v    led_brightness_r_reg[2]
0.7363   0.6120   0.0741   Upper   RN v -> Q v    pin_input_r_reg[1]
0.7363   0.6120   0.0780   Upper   RN v -> Q v    fan_cmd_r_reg
0.7364   0.6120   0.0788   Upper   RN v -> Q v    pin_input_r_reg[2]
0.7364   0.6120   0.1007   Upper   RN v -> Q v    led_brightness_r_reg[0]
0.7364   0.6120   0.0906   Upper   RN v -> Q v    led_brightness_r_reg[1]
0.7363   0.6120   0.0794   Upper   RN v -> Q v    ac_cmd_r_reg
0.7364   0.6120   0.0937   Upper   RN v -> Q v    visitor_count_r_reg[2]
0.7364   0.6120   0.0910   Upper   RN v -> Q v    led_brightness_r_reg[3]
0.7363   0.6120   0.0892   Upper   RN v -> Q v    light_sensor_r_reg[1]
0.7364   0.6120   0.0916   Upper   RN v -> Q v    visitor_count_r_reg[1]
0.7364   0.6120   0.0932   Upper   RN v -> Q v    led_brightness_r_reg[6]
0.7364   0.6120   0.0950   Upper   RN v -> Q v    led_brightness_r_reg[4]
0.7363   0.6120   0.0828   Upper   RN v -> Q v    light_sensor_r_reg[0]
0.7364   0.6120   0.0941   Upper   RN v -> Q v    visitor_count_r_reg[0]
0.7364   0.6120   0.0913   Upper   RN v -> Q v    led_brightness_r_reg[5]
0.7363   0.6120   0.0902   Upper   RN v -> Q v    light_sensor_r_reg[2]
0.7364   0.6120   0.0966   Upper   RN v -> Q v    led_brightness_r_reg[7]
0.7363   0.6120   0.0884   Upper   RN v -> Q v    light_sensor_r_reg[3]
0.7364   0.6120   0.0972   Upper   RN v -> Q v    u_appliances/ac_on_reg
0.7364   0.6120   0.0995   Upper   RN v -> Q v    u_appliances/fan_on_reg
0.7364   0.6120   0.1119   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[4]
0.7364   0.6120   0.1329   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[6]
0.7364   0.6120   0.1287   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[7]
0.7364   0.6120   0.1221   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[0]
0.7364   0.6120   0.1099   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[2]
0.7364   0.6120   0.1146   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[5]
0.7364   0.6120   0.1116   Upper   RN v -> Q v    u_lum_ctrl/led_brightness_reg[3]
