# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.7251   0.6120   0.1165   Upper   RN v -> QN ^    burglar_alarm_out_r_reg
0.7251   0.6120   0.0713   Upper   RN v -> Q v    pin_input_r_reg[3]
0.7251   0.6120   0.0885   Upper   RN v -> Q v    ac_on_r_reg
0.7251   0.6120   0.1673   Upper   RN v -> QN ^    ac_on_r_reg
0.7251   0.6120   0.0757   Upper   RN v -> Q v    pin_input_r_reg[0]
0.7251   0.6120   0.0934   Upper   RN v -> Q v    led_brightness_r_reg[2]
0.7251   0.6120   0.0735   Upper   RN v -> Q v    pin_input_r_reg[1]
0.7251   0.6120   0.0774   Upper   RN v -> Q v    fan_cmd_r_reg
0.7251   0.6120   0.0782   Upper   RN v -> Q v    pin_input_r_reg[2]
0.7251   0.6120   0.0990   Upper   RN v -> Q v    led_brightness_r_reg[0]
0.7251   0.6120   0.0883   Upper   RN v -> Q v    led_brightness_r_reg[1]
0.7251   0.6120   0.0787   Upper   RN v -> Q v    ac_cmd_r_reg
0.7251   0.6120   0.0915   Upper   RN v -> Q v    visitor_count_r_reg[2]
0.7251   0.6120   0.0887   Upper   RN v -> Q v    led_brightness_r_reg[3]
0.7251   0.6120   0.0875   Upper   RN v -> Q v    light_sensor_r_reg[1]
0.7251   0.6120   0.0894   Upper   RN v -> Q v    visitor_count_r_reg[1]
0.7251   0.6120   0.0911   Upper   RN v -> Q v    led_brightness_r_reg[6]
0.7251   0.6120   0.0929   Upper   RN v -> Q v    led_brightness_r_reg[4]
0.7250   0.6120   0.0821   Upper   RN v -> Q v    light_sensor_r_reg[0]
0.7251   0.6120   0.0921   Upper   RN v -> Q v    visitor_count_r_reg[0]
0.7251   0.6120   0.0891   Upper   RN v -> Q v    led_brightness_r_reg[5]
0.7250   0.6120   0.0883   Upper   RN v -> Q v    light_sensor_r_reg[2]
0.7251   0.6120   0.0947   Upper   RN v -> Q v    led_brightness_r_reg[7]
0.7250   0.6120   0.0868   Upper   RN v -> Q v    light_sensor_r_reg[3]
0.7251   0.6120   0.0952   Upper   RN v -> Q v    u_appliances/ac_on_reg
