# Time Unit : 1e-09 seconds (ns)
# ActualValue: Actual value of slew seen during delay calculation. This is the value that fell out of bound.
# BoundValue: Bound value of slew. This is the first or last value for which characterization information is present in the library.
# BoundType: Lower or Upper, corresponding to whether the actual value is respectively smaller or greater than the bound value.
# Arc: Arc specification from source pin to sink pin (including rise/fall information for both).
# Instance: Full hierarchical name of the instance.
ActualValue    BoundValue    OutputValue    BoundType    Arc    Instance
0.0030   0.0600   0.0702   Lower   CK ^ -> Q v    u_appliances/ac_on_reg
0.0030   0.0600   0.0873   Lower   CK ^ -> Q v    u_appliances/fan_on_reg
0.0030   0.0600   0.0734   Lower   CK ^ -> Q v    u_appliances/lights_on_reg
0.0030   0.0600   0.1187   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[6]
0.0030   0.0600   0.1346   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[5]
0.0030   0.0600   0.0992   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[7]
0.0030   0.0600   0.1282   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[3]
0.0030   0.0600   0.1247   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[4]
0.0030   0.0600   0.0949   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[8]
0.0030   0.0600   0.1234   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[2]
0.0030   0.0600   0.1024   Lower   CK ^ -> Q v    u_burglar/alarm_out_reg
0.0030   0.0600   0.1141   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[1]
0.0030   0.0600   0.1044   Lower   CK ^ -> Q v    u_burglar/delay_counter_reg[0]
0.0030   0.0600   0.0715   Lower   CK ^ -> Q v    u_door_lock/door_locked_reg
0.0030   0.0600   0.1034   Lower   CK ^ -> Q v    u_door_lock/lock_status_reg[1]
0.0030   0.0600   0.0930   Lower   CK ^ -> Q v    u_door_lock/lock_status_reg[0]
0.0030   0.0600   0.1068   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[7]
0.0030   0.0600   0.1308   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[6]
0.0030   0.0600   0.1338   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[5]
0.0030   0.0600   0.1179   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[4]
0.0030   0.0600   0.1131   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[3]
0.0030   0.0600   0.1296   Lower   CK ^ -> Q v    u_door_lock/attempt_counter_reg[0]
0.0030   0.0600   0.1291   Lower   CK ^ -> Q v    u_door_lock/attempt_counter_reg[1]
0.0030   0.0600   0.0911   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[1]
0.0030   0.0600   0.1195   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[2]
0.0030   0.0600   0.2482   Lower   CK ^ -> Q v    u_door_lock/state_reg[1]
0.0030   0.0600   0.2154   Lower   CK ^ -> Q v    u_door_lock/state_reg[0]
0.0030   0.0600   0.0887   Lower   CK ^ -> Q v    u_door_lock/timeout_counter_reg[0]
0.0030   0.0600   0.0987   Lower   CK ^ -> Q v    u_door_lock/attempt_counter_reg[2]
0.0030   0.0600   0.0853   Lower   CK ^ -> Q v    u_entertainment/tv_on_reg
0.0030   0.0600   0.0819   Lower   CK ^ -> Q v    u_entertainment/music_on_reg
0.0030   0.0600   0.1053   Lower   CK ^ -> Q v    u_entertainment/volume_level_reg[0]
0.0030   0.0600   0.1035   Lower   CK ^ -> Q v    u_entertainment/volume_level_reg[2]
0.0030   0.0600   0.0969   Lower   CK ^ -> Q v    u_entertainment/volume_level_reg[1]
0.0030   0.0600   0.0997   Lower   CK ^ -> Q v    u_entertainment/volume_level_reg[3]
0.0030   0.0600   0.0890   Lower   CK ^ -> Q v    u_humidity/dehumidifier_on_reg
0.0030   0.0600   0.0788   Lower   CK ^ -> Q v    u_humidity/humidifier_on_reg
0.0030   0.0600   0.0896   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[4]
0.0030   0.0600   0.1022   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[6]
0.0030   0.0600   0.1132   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[7]
0.0030   0.0600   0.0768   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[0]
0.0030   0.0600   0.0854   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[2]
0.0030   0.0600   0.0908   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[5]
0.0030   0.0600   0.0804   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[3]
0.0030   0.0600   0.0761   Lower   CK ^ -> Q v    u_lum_ctrl/led_brightness_reg[1]
0.0030   0.0600   0.1048   Lower   CK ^ -> Q v    u_temp_ctrl/cooler_on_reg
0.0030   0.0600   0.0519   Lower   CK ^ -> QN v    u_temp_ctrl/cooler_on_reg
0.0030   0.0600   0.0873   Lower   CK ^ -> Q v    u_temp_ctrl/heater_on_reg
0.0030   0.0600   0.0770   Lower   CK ^ -> QN v    u_temp_ctrl/heater_on_reg
0.0030   0.0600   0.1007   Lower   CK ^ -> Q v    u_visitor/count_reg[6]
0.0030   0.0600   0.1385   Lower   CK ^ -> Q v    u_visitor/count_reg[5]
0.0030   0.0600   0.1446   Lower   CK ^ -> Q v    u_visitor/count_reg[7]
0.0030   0.0600   0.0948   Lower   CK ^ -> Q v    u_visitor/count_reg[4]
0.0030   0.0600   0.0989   Lower   CK ^ -> Q v    u_visitor/count_reg[1]
0.0030   0.0600   0.0958   Lower   CK ^ -> Q v    u_visitor/count_reg[2]
0.0030   0.0600   0.1178   Lower   CK ^ -> Q v    u_visitor/count_reg[3]
0.0030   0.0600   0.0665   Lower   CK ^ -> Q v    u_visitor/count_reg[0]
0.0030   0.0600   0.0729   Lower   CK ^ -> Q v    u_visitor/exit_prev_reg
0.0030   0.0600   0.0653   Lower   CK ^ -> Q v    u_visitor/entry_prev_reg
0.0030   0.0600   0.0776   Lower   CK ^ -> Q v    u_water_ctrl/valve_close_reg
0.0030   0.0600   0.0955   Lower   CK ^ -> Q v    u_water_ctrl/pump_on_reg
0.0030   0.0600   0.1314   Lower   CK ^ -> Q v    u_window/window_state_reg[0]
0.0030   0.0600   0.1344   Lower   CK ^ -> Q v    u_window/window_state_reg[1]
0.0030   0.0600   0.0447   Lower   CK ^ -> Q v    water_valve_close_r_reg
0.0030   0.0600   0.0416   Lower   CK ^ -> Q v    tv_on_r_reg
0.0030   0.0600   0.0447   Lower   CK ^ -> Q v    music_on_r_reg
0.0030   0.0600   0.0406   Lower   CK ^ -> Q v    led_brightness_r_reg[2]
0.0030   0.0600   0.0412   Lower   CK ^ -> Q v    led_brightness_r_reg[7]
0.0030   0.0600   0.0394   Lower   CK ^ -> Q v    led_brightness_r_reg[3]
0.0030   0.0600   0.0426   Lower   CK ^ -> Q v    humidifier_on_r_reg
0.0030   0.0600   0.0450   Lower   CK ^ -> Q v    dehumidifier_on_r_reg
0.0030   0.0600   0.0740   Lower   CK ^ -> Q v    lights_on_r_reg
0.0030   0.0600   0.3879   Lower   CK ^ -> QN v    lights_on_r_reg
0.0030   0.0600   0.0405   Lower   CK ^ -> Q v    led_brightness_r_reg[1]
0.0030   0.0600   0.0397   Lower   CK ^ -> Q v    led_brightness_r_reg[0]
0.0030   0.0600   0.0394   Lower   CK ^ -> Q v    led_brightness_r_reg[6]
0.0030   0.0600   0.0406   Lower   CK ^ -> Q v    led_brightness_r_reg[5]
0.0030   0.0600   0.0416   Lower   CK ^ -> Q v    led_brightness_r_reg[4]
0.0030   0.0600   0.0586   Lower   CK ^ -> Q v    ac_on_r_reg
0.0030   0.0600   0.3769   Lower   CK ^ -> QN v    ac_on_r_reg
0.0030   0.0600   0.0659   Lower   CK ^ -> Q v    fan_on_r_reg
0.0030   0.0600   0.3888   Lower   CK ^ -> QN v    fan_on_r_reg
0.0030   0.0600   0.0406   Lower   CK ^ -> Q v    lock_status_r_reg[0]
0.0030   0.0600   0.0411   Lower   CK ^ -> Q v    lock_status_r_reg[1]
0.0030   0.0600   0.0590   Lower   CK ^ -> Q v    door_locked_r_reg
0.0030   0.0600   0.3895   Lower   CK ^ -> QN v    door_locked_r_reg
0.0030   0.0600   0.0425   Lower   CK ^ -> Q v    volume_level_r_reg[2]
0.0030   0.0600   0.0501   Lower   CK ^ -> Q v    volume_level_r_reg[3]
0.0030   0.0600   0.0411   Lower   CK ^ -> Q v    volume_level_r_reg[1]
0.0030   0.0600   0.0416   Lower   CK ^ -> Q v    volume_level_r_reg[0]
0.0030   0.0600   0.0622   Lower   CK ^ -> Q v    water_pump_on_r_reg
0.0030   0.0600   0.3611   Lower   CK ^ -> QN v    water_pump_on_r_reg
0.0030   0.0600   0.0409   Lower   CK ^ -> Q v    pin_input_r_reg[3]
0.0030   0.0600   0.0473   Lower   CK ^ -> Q v    ac_cmd_r_reg
0.0030   0.0600   0.0402   Lower   CK ^ -> Q v    visitor_count_r_reg[1]
0.0030   0.0600   0.0392   Lower   CK ^ -> Q v    visitor_count_r_reg[5]
0.0030   0.0600   0.0412   Lower   CK ^ -> Q v    visitor_count_r_reg[4]
0.0030   0.0600   0.0398   Lower   CK ^ -> Q v    visitor_count_r_reg[2]
0.0030   0.0600   0.0401   Lower   CK ^ -> Q v    visitor_count_r_reg[3]
0.0030   0.0600   0.0479   Lower   CK ^ -> Q v    window_state_r_reg[1]
0.0030   0.0600   0.0392   Lower   CK ^ -> Q v    visitor_count_r_reg[0]
0.0030   0.0600   0.0454   Lower   CK ^ -> Q v    window_state_r_reg[0]
0.0030   0.0600   0.0397   Lower   CK ^ -> Q v    visitor_count_r_reg[7]
0.0030   0.0600   0.0396   Lower   CK ^ -> Q v    visitor_count_r_reg[6]
0.0030   0.0600   0.0509   Lower   CK ^ -> Q v    window_manual_open_r_reg
0.0030   0.0600   0.0418   Lower   CK ^ -> Q v    motion_sensor_r_reg
0.0030   0.0600   0.0458   Lower   CK ^ -> Q v    temp_sensor_r_reg[0]
0.0154   0.0168   0.0408   Lower   RN v -> Q v    temp_sensor_r_reg[1]
0.0030   0.0600   0.0446   Lower   CK ^ -> Q v    temp_sensor_r_reg[1]
0.0030   0.0600   0.0620   Lower   CK ^ -> Q v    temp_sensor_r_reg[2]
0.0030   0.0600   0.0646   Lower   CK ^ -> Q v    temp_sensor_r_reg[3]
0.0030   0.0600   0.0566   Lower   CK ^ -> Q v    temp_sensor_r_reg[4]
0.0030   0.0600   0.0611   Lower   CK ^ -> Q v    temp_sensor_r_reg[5]
0.0030   0.0600   0.0439   Lower   CK ^ -> Q v    pin_input_r_reg[0]
0.0030   0.0600   0.0572   Lower   CK ^ -> Q v    temp_sensor_r_reg[7]
0.0030   0.0600   0.0586   Lower   CK ^ -> Q v    temp_setpoint_r_reg[7]
0.0030   0.0600   0.0557   Lower   CK ^ -> Q v    temp_setpoint_r_reg[0]
0.0030   0.0600   0.0727   Lower   CK ^ -> Q v    temp_setpoint_r_reg[2]
0.0030   0.0600   0.0714   Lower   CK ^ -> Q v    temp_setpoint_r_reg[3]
0.0030   0.0600   0.0787   Lower   CK ^ -> Q v    temp_setpoint_r_reg[4]
0.0030   0.0600   0.0656   Lower   CK ^ -> Q v    temp_setpoint_r_reg[6]
0.0030   0.0600   0.0443   Lower   CK ^ -> Q v    window_sensor_r_reg
0.0030   0.0600   0.0657   Lower   CK ^ -> Q v    window_auto_mode_r_reg
0.0030   0.0600   0.0447   Lower   CK ^ -> Q v    alarm_arm_r_reg
0.0030   0.0600   0.0445   Lower   CK ^ -> Q v    door_sensor_r_reg
0.0030   0.0600   0.0626   Lower   CK ^ -> Q v    entry_sensor_r_reg
0.0030   0.0600   0.0531   Lower   CK ^ -> Q v    exit_sensor_r_reg
0.0030   0.0600   0.0499   Lower   CK ^ -> Q v    humidity_sensor_r_reg[3]
0.0030   0.0600   0.0438   Lower   CK ^ -> Q v    pin_input_r_reg[2]
0.0030   0.0600   0.0425   Lower   CK ^ -> Q v    pin_input_r_reg[1]
0.0030   0.0600   0.0568   Lower   CK ^ -> Q v    heater_on_r_reg
0.0030   0.0600   0.3952   Lower   CK ^ -> QN v    heater_on_r_reg
0.0030   0.0600   0.0593   Lower   CK ^ -> Q v    volume_cmd_r_reg[0]
0.0030   0.0600   0.0610   Lower   CK ^ -> Q v    volume_cmd_r_reg[1]
0.0030   0.0600   0.0444   Lower   CK ^ -> Q v    door_unlock_cmd_r_reg
0.0030   0.0600   0.0538   Lower   CK ^ -> Q v    window_manual_close_r_reg
0.0076   0.0168   0.0598   Lower   RN v -> Q v    volume_cmd_r_reg[2]
0.0030   0.0600   0.0626   Lower   CK ^ -> Q v    volume_cmd_r_reg[2]
0.0030   0.0600   0.0446   Lower   CK ^ -> Q v    door_lock_cmd_r_reg
0.0030   0.0600   0.0416   Lower   CK ^ -> Q v    humidity_sensor_r_reg[6]
0.0030   0.0600   0.0476   Lower   CK ^ -> Q v    light_cmd_r_reg
0.0030   0.0600   0.0496   Lower   CK ^ -> Q v    humidity_sensor_r_reg[0]
0.0076   0.0168   0.0575   Lower   RN v -> Q v    volume_cmd_r_reg[3]
0.0030   0.0600   0.0604   Lower   CK ^ -> Q v    volume_cmd_r_reg[3]
0.0030   0.0600   0.0764   Lower   CK ^ -> Q v    temp_setpoint_r_reg[1]
0.0030   0.0600   0.0745   Lower   CK ^ -> Q v    temp_setpoint_r_reg[5]
0.0030   0.0600   0.0446   Lower   CK ^ -> Q v    water_level_r_reg[0]
0.0030   0.0600   0.0630   Lower   CK ^ -> Q v    temp_sensor_r_reg[6]
0.0030   0.0600   0.0467   Lower   CK ^ -> Q v    fan_cmd_r_reg
0.0030   0.0600   0.0696   Lower   CK ^ -> Q v    humidity_sensor_r_reg[1]
0.0030   0.0600   0.0425   Lower   CK ^ -> Q v    humidity_sensor_r_reg[2]
